minifigs,image,name,pieces
5,https://images.brickset.com/sets/small/10251-1.jpg?201510121127,Brick Bank,2380
,https://images.brickset.com/sets/small/10252-1.jpg?201606140214,Volkswagen Beetle,1167
,https://images.brickset.com/sets/small/10253-1.jpg?201605190256,Big Ben,4163
5,https://images.brickset.com/sets/small/10254-1.jpg?201608110306,Winter Holiday Train,734
,https://images.brickset.com/sets/small/10654-1.jpg?201609271134,XL Creative Brick Box,1600
,https://images.brickset.com/sets/small/10702-1.jpg?201511230710,Creative Building Set,583
,https://images.brickset.com/sets/small/10705-1.jpg?201605201119,Creative Building Basket,1000
2,https://images.brickset.com/sets/small/10720-1.jpg?201601050913,Police Helicopter Chase,63
2,https://images.brickset.com/sets/small/10721-1.jpg?201601050913,Iron Man vs. Loki,66
2,https://images.brickset.com/sets/small/10722-1.jpg?201601050913,Snake Showdown,92
1,https://images.brickset.com/sets/small/10723-1.jpg?201601050913,Ariel's Dolphin Carriage,70
3,https://images.brickset.com/sets/small/10724-1.jpg?201605201119,Batman & Superman vs. Lex Luthor,164
3,https://images.brickset.com/sets/small/10725-1.jpg?201601050913,Lost Temple,172
1,https://images.brickset.com/sets/small/10726-1.jpg?201605201119,Stephanie's Horse Carriage,58
2,https://images.brickset.com/sets/small/10727-1.jpg?201605201119,Emma's Ice Cream Truck,136
2,https://images.brickset.com/sets/small/10728-1.jpg?201605201119,Mia's Vet Clinic,173
2,https://images.brickset.com/sets/small/10729-1.jpg?201601050913,Cinderella's Carriage,116
,https://images.brickset.com/sets/small/10801-1.jpg?201511230710,Baby Animals,13
1,https://images.brickset.com/sets/small/10802-1.jpg?201511230710,Savanna,18
2,https://images.brickset.com/sets/small/10803-1.jpg?201511230710,Arctic,40
2,https://images.brickset.com/sets/small/10804-1.jpg?201511230710,Jungle,86
5,https://images.brickset.com/sets/small/10805-1.jpg?201601050913,Around the World,163
1,https://images.brickset.com/sets/small/10806-1.jpg?201511230710,Horses,20
2,https://images.brickset.com/sets/small/10807-1.jpg?201511230710,Horse Trailer,15
1,https://images.brickset.com/sets/small/10808-1.jpg?201511230710,Little Plane,13
2,https://images.brickset.com/sets/small/10809-1.jpg?201511230710,Police Patrol,15
2,https://images.brickset.com/sets/small/10810-1.jpg?201605201119,Push Train,45
1,https://images.brickset.com/sets/small/10811-1.jpg?201605201119,Backhoe Loader,19
2,https://images.brickset.com/sets/small/10812-1.jpg?201605201119,Truck & Tracked Excavator,28
3,https://images.brickset.com/sets/small/10813-1.jpg?201605201119,Big Construction Site,67
2,https://images.brickset.com/sets/small/10814-1.jpg?201511230710,Tow Truck,28
